1024	    395.58	    1958.17	  4.95
2048	    397.26	    2030.49	  5.11
4096	    397.40	    1973.99	  4.97
8192	    398.00	    1932.57	  4.86
16384	    398.29	    2231.80	  5.60
32768	    398.50	    1906.91	  4.79
65536	    398.66	    1903.68	  4.78
131072	    398.27	    1900.47	  4.77
262144	    398.29	    1907.44	  4.79
524288	    396.49	    1928.71	  4.86
1048576     395.18	    1875.08	  4.74
2097152	    393.82	    1730.68	  4.39
4194304	    390.69	    1364.98	  3.49
8388608	    388.78	    1189.49	  3.06
