      1024 ,        8 ,    13.0506 ,  83.79
      1024 ,       32 ,     8.3945 ,  83.69
      1024 ,       64 ,    10.9364 ,  83.59
      1024 ,      128 ,    10.8291 ,  84.67
      1024 ,      256 ,    13.1148 ,  85.45
      4096 ,        8 ,    38.1976 ,  83.84
      4096 ,       32 ,    44.5682 ,  83.86
      4096 ,       64 ,    42.9819 ,  85.30
      4096 ,      128 ,    50.2158 ,  83.25
      4096 ,      256 ,    41.8985 ,  84.33
     16384 ,        8 ,   177.3467 ,  83.96
     16384 ,       32 ,   167.2110 ,  83.40
     16384 ,       64 ,   203.1746 ,  83.77
     16384 ,      128 ,   206.8687 ,  83.62
     16384 ,      256 ,   206.5349 ,  83.90
     65536 ,        8 ,   542.0858 ,  83.96
     65536 ,       32 ,   743.1059 ,  83.62
     65536 ,       64 ,   456.5314 ,  83.91
     65536 ,      128 ,   768.7688 ,  83.83
     65536 ,      256 ,   771.6654 ,  83.84
    262144 ,        8 ,   864.9562 ,  83.75
    262144 ,       32 ,  1863.9362 ,  83.88
    262144 ,       64 ,  1517.3181 ,  83.61
    262144 ,      128 ,  2154.0888 ,  83.86
    262144 ,      256 ,  2456.3718 ,  83.89
   1048576 ,        8 ,  1124.1938 ,  83.83
   1048576 ,       32 ,  3182.9043 ,  83.79
   1048576 ,       64 ,  4199.4105 ,  83.80
   1048576 ,      128 ,  4435.3005 ,  83.83
   1048576 ,      256 ,  5265.6274 ,  83.80
   2097152 ,        8 ,  1198.8220 ,  83.82
   2097152 ,       32 ,  3726.6006 ,  83.83
   2097152 ,       64 ,  5345.5138 ,  83.76
   2097152 ,      128 ,  6646.6534 ,  83.81
   2097152 ,      256 ,  6258.8098 ,  83.81
